,Week,Interest,Country,Crypto
10532,2021-10-10,2,Brasil,Ripple
10533,2021-10-17,0,Brasil,Ripple
10534,2021-10-24,0,Brasil,Ripple
10535,2021-10-31,0,Brasil,Ripple
10536,2021-11-07,0,Brasil,Ripple
10537,2021-11-14,0,Brasil,Ripple
10538,2021-11-21,0,Brasil,Ripple
10539,2021-11-28,0,Brasil,Ripple
10540,2021-12-05,0,Brasil,Ripple
10541,2021-12-12,0,Brasil,Ripple
10542,2021-12-19,0,Brasil,Ripple
10543,2021-12-26,0,Brasil,Ripple
10544,2022-01-02,0,Brasil,Ripple
10545,2022-01-09,0,Brasil,Ripple
10546,2022-01-16,0,Brasil,Ripple
10547,2022-01-23,0,Brasil,Ripple
10548,2022-01-30,0,Brasil,Ripple
10549,2022-02-06,0,Brasil,Ripple
10550,2022-02-13,0,Brasil,Ripple
10551,2022-02-20,0,Brasil,Ripple
10552,2022-02-27,0,Brasil,Ripple
10553,2022-03-06,0,Brasil,Ripple
10554,2022-03-13,0,Brasil,Ripple
10555,2022-03-20,0,Brasil,Ripple
10556,2022-03-27,0,Brasil,Ripple
10557,2022-04-03,0,Brasil,Ripple
10558,2022-04-10,0,Brasil,Ripple
10559,2022-04-17,0,Brasil,Ripple
10560,2022-04-24,0,Brasil,Ripple
10561,2022-05-01,0,Brasil,Ripple
10562,2022-05-08,1,Brasil,Ripple
10563,2022-05-15,0,Brasil,Ripple
10564,2022-05-22,0,Brasil,Ripple
10565,2022-05-29,0,Brasil,Ripple
10566,2022-06-05,0,Brasil,Ripple
10567,2022-06-12,0,Brasil,Ripple
10568,2022-06-19,0,Brasil,Ripple
10569,2022-06-26,0,Brasil,Ripple
10570,2022-07-03,0,Brasil,Ripple
10571,2022-07-10,0,Brasil,Ripple
10572,2022-07-17,0,Brasil,Ripple
10573,2022-07-24,0,Brasil,Ripple
10574,2022-07-31,0,Brasil,Ripple
10575,2022-08-07,0,Brasil,Ripple
10576,2022-08-14,0,Brasil,Ripple
10577,2022-08-21,0,Brasil,Ripple
10578,2022-08-28,0,Brasil,Ripple
10579,2022-09-04,0,Brasil,Ripple
10580,2022-09-11,0,Brasil,Ripple
10581,2022-09-18,0,Brasil,Ripple
10582,2022-09-25,0,Brasil,Ripple
10583,2022-10-02,0,Brasil,Ripple
10584,2022-10-09,0,Brasil,Ripple
10585,2022-10-16,0,Brasil,Ripple
10586,2022-10-23,0,Brasil,Ripple
10587,2022-10-30,0,Brasil,Ripple
10588,2022-11-06,0,Brasil,Ripple
10589,2022-11-13,0,Brasil,Ripple
10590,2022-11-20,0,Brasil,Ripple
10591,2022-11-27,0,Brasil,Ripple
10592,2022-12-04,0,Brasil,Ripple
10593,2022-12-11,0,Brasil,Ripple
10594,2022-12-18,0,Brasil,Ripple
10595,2022-12-25,0,Brasil,Ripple
10596,2023-01-01,0,Brasil,Ripple
10597,2023-01-08,0,Brasil,Ripple
10598,2023-01-15,0,Brasil,Ripple
10599,2023-01-22,0,Brasil,Ripple
10600,2023-01-29,0,Brasil,Ripple
10601,2023-02-05,0,Brasil,Ripple
10602,2023-02-12,0,Brasil,Ripple
10603,2023-02-19,0,Brasil,Ripple
10604,2023-02-26,0,Brasil,Ripple
10605,2023-03-05,0,Brasil,Ripple
10606,2023-03-12,0,Brasil,Ripple
10607,2023-03-19,0,Brasil,Ripple
10608,2023-03-26,1,Brasil,Ripple
10609,2023-04-02,0,Brasil,Ripple
10610,2023-04-09,0,Brasil,Ripple
10611,2023-04-16,0,Brasil,Ripple
10612,2023-04-23,0,Brasil,Ripple
10613,2023-04-30,0,Brasil,Ripple
10614,2023-05-07,0,Brasil,Ripple
10615,2023-05-14,0,Brasil,Ripple
